,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,,fare2
1,1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,71
3,1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE,,53
6,0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE,,52
10,1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE,,17
11,1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE,,27
21,1,2,male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE,,13
23,1,1,male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE,,36
27,0,1,male,19,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE,,263
52,1,1,female,49,1,0,76.7292,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,77
54,0,1,male,65,0,1,61.9792,C,First,man,TRUE,B,Cherbourg,no,FALSE,,62
62,0,1,male,45,1,0,83.475,S,First,man,TRUE,C,Southampton,no,FALSE,,83
66,1,2,female,29,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,,11
75,0,3,male,25,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,,8
88,1,1,female,23,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,,263
92,0,1,male,46,1,0,61.175,S,First,man,TRUE,E,Southampton,no,FALSE,,61
96,0,1,male,71,0,0,34.6542,C,First,man,TRUE,A,Cherbourg,no,TRUE,,35
97,1,1,male,23,0,1,63.3583,C,First,man,TRUE,D,Cherbourg,yes,FALSE,,63
102,0,1,male,21,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,,77
110,0,1,male,47,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE,,52
118,0,1,male,24,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE,,248
123,1,2,female,32,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE,,13
124,0,1,male,54,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,,77
136,1,1,female,19,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE,,26
137,0,1,male,37,1,0,53.1,S,First,man,TRUE,C,Southampton,no,FALSE,,53
139,0,1,male,24,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,,79
148,0,2,male,36,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE,,26
151,1,1,female,22,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE,,67
170,0,1,male,61,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE,,34
174,0,1,male,56,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE,,31
177,0,1,female,50,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE,,29
183,1,2,male,1,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,,39
193,1,2,male,3,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,,26
194,1,1,female,44,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,28
195,1,1,female,58,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,147
205,0,3,female,2,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE,,10
209,1,1,male,40,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE,,31
215,1,1,female,31,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,113
218,1,1,female,32,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE,,76
224,1,1,male,38,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE,,90
230,1,1,female,35,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE,,83
245,0,1,male,44,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE,,90
248,1,1,male,37,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,,53
251,0,3,female,29,1,1,10.4625,S,Third,woman,FALSE,G,Southampton,no,FALSE,,10
252,0,1,male,62,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,,27
257,1,1,female,30,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,,87
262,0,1,male,52,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE,,80
263,0,1,male,40,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,,0
268,1,1,female,58,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE,,153
269,1,1,female,35,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE,,136
273,0,1,male,37,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE,,30
275,1,1,female,63,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,,78
291,1,1,female,19,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,91
292,0,2,male,36,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE,,13
297,0,1,female,2,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE,,152
299,1,1,female,50,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,248
305,1,1,male,0,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE,,152
307,1,1,female,17,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,109
309,1,1,female,30,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,,57
310,1,1,female,24,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,83
311,1,1,female,18,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,262
318,1,1,female,31,0,2,164.8667,S,First,woman,FALSE,C,Southampton,yes,FALSE,,165
319,1,1,female,40,1,1,134.5,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,,135
325,1,1,female,36,0,0,135.6333,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,136
327,1,2,female,36,0,0,13,S,Second,woman,FALSE,D,Southampton,yes,TRUE,,13
329,1,1,female,16,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,58
331,0,1,male,45,0,0,28.5,S,First,man,TRUE,C,Southampton,no,TRUE,,29
332,0,1,male,38,0,1,153.4625,S,First,man,TRUE,C,Southampton,no,FALSE,,153
336,0,1,male,29,1,0,66.6,S,First,man,TRUE,C,Southampton,no,FALSE,,67
337,1,1,female,41,0,0,134.5,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,,135
340,1,2,male,2,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,,26
341,1,1,female,24,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,,263
345,1,2,female,24,0,0,13,S,Second,woman,FALSE,F,Southampton,yes,TRUE,,13
356,1,1,female,22,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,,55
366,1,1,female,60,1,0,75.25,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,75
369,1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,69
370,1,1,male,25,1,0,55.4417,C,First,man,TRUE,E,Cherbourg,yes,FALSE,,55
377,0,1,male,27,0,2,211.5,C,First,man,TRUE,C,Cherbourg,no,FALSE,,212
390,1,1,male,36,1,2,120,S,First,man,TRUE,B,Southampton,yes,FALSE,,120
393,1,1,female,23,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,113
394,1,3,female,24,0,2,16.7,S,Third,woman,FALSE,G,Southampton,yes,FALSE,,17
412,1,1,female,33,1,0,90,Q,First,woman,FALSE,C,Queenstown,yes,FALSE,,90
429,1,3,male,32,0,0,8.05,S,Third,man,TRUE,E,Southampton,yes,TRUE,,8
430,1,1,male,28,0,0,26.55,S,First,man,TRUE,C,Southampton,yes,TRUE,,27
434,0,1,male,50,1,0,55.9,S,First,man,TRUE,E,Southampton,no,FALSE,,56
435,1,1,female,14,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,,120
438,0,1,male,64,1,4,263,S,First,man,TRUE,C,Southampton,no,FALSE,,263
445,1,1,male,4,0,2,81.8583,S,First,child,FALSE,A,Southampton,yes,FALSE,,82
449,1,1,male,52,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,,31
452,0,1,male,30,0,0,27.75,C,First,man,TRUE,C,Cherbourg,no,TRUE,,28
453,1,1,male,49,1,0,89.1042,C,First,man,TRUE,C,Cherbourg,yes,FALSE,,89
