,Survived,Pclass,Sex,Age,Siblings,Parch,Fare,Class,Gender,Boat Deck,Embark Town,Alive,Alone
0,1,1,1,38,1,0,71,First,1,C,Cherbourg,0,False
1,1,1,1,35,1,0,53,First,1,C,Southampton,0,False
2,0,1,0,54,0,0,51,First,0,E,Southampton,1,True
3,1,3,1,4,1,1,16,Third,2,G,Southampton,0,False
4,1,1,1,58,0,0,26,First,1,C,Southampton,0,True
5,1,2,0,34,0,0,13,Second,0,D,Southampton,0,True
6,1,1,0,28,0,0,35,First,0,A,Southampton,0,True
7,0,1,0,19,3,2,263,First,0,C,Southampton,1,False
8,1,1,1,49,1,0,76,First,1,D,Cherbourg,0,False
9,0,1,0,65,0,1,61,First,0,B,Cherbourg,1,False
10,0,1,0,45,1,0,83,First,0,C,Southampton,1,False
11,1,2,1,29,0,0,10,Second,1,F,Southampton,0,True
12,0,3,0,25,0,0,7,Third,0,F,Southampton,1,True
13,1,1,1,23,3,2,263,First,1,C,Southampton,0,False
14,0,1,0,46,1,0,61,First,0,E,Southampton,1,False
15,0,1,0,71,0,0,34,First,0,A,Cherbourg,1,True
16,1,1,0,23,0,1,63,First,0,D,Cherbourg,0,False
17,0,1,0,21,0,1,77,First,0,D,Southampton,1,False
18,0,1,0,47,0,0,52,First,0,C,Southampton,1,True
19,0,1,0,24,0,1,247,First,0,B,Cherbourg,1,False
20,1,2,1,32,0,0,13,Second,1,E,Southampton,0,True
21,0,1,0,54,0,1,77,First,0,D,Southampton,1,False
22,1,1,1,19,0,2,26,First,1,D,Southampton,0,False
23,0,1,0,37,1,0,53,First,0,C,Southampton,1,False
24,0,1,0,24,0,0,79,First,0,B,Cherbourg,1,True
25,0,2,0,36,0,2,26,Second,0,F,Southampton,1,False
26,1,1,1,22,1,0,66,First,1,C,Southampton,0,False
27,0,1,0,61,0,0,33,First,0,B,Southampton,1,True
28,0,1,0,56,0,0,30,First,0,A,Cherbourg,1,True
29,0,1,1,50,0,0,28,First,1,C,Cherbourg,1,True
30,1,2,0,1,2,1,39,Second,2,F,Southampton,0,False
31,1,2,0,3,1,1,26,Second,2,F,Southampton,0,False
32,1,1,1,44,0,0,27,First,1,B,Cherbourg,0,True
33,1,1,1,58,0,0,146,First,1,B,Cherbourg,0,True
34,0,3,1,2,0,1,10,Third,2,G,Southampton,1,False
35,1,1,0,40,0,0,31,First,0,A,Cherbourg,0,True
36,1,1,1,31,1,0,113,First,1,D,Cherbourg,0,False
37,1,1,1,32,0,0,76,First,1,D,Cherbourg,0,True
38,1,1,0,38,1,0,90,First,0,C,Southampton,0,False
39,1,1,1,35,1,0,83,First,1,C,Southampton,0,False
40,0,1,0,44,2,0,90,First,0,C,Queenstown,1,False
41,1,1,0,37,1,1,52,First,0,D,Southampton,0,False
42,0,3,1,29,1,1,10,Third,1,G,Southampton,1,False
43,0,1,0,62,0,0,26,First,0,C,Southampton,1,True
44,1,1,1,30,0,0,86,First,1,B,Southampton,0,True
45,0,1,0,52,1,1,79,First,0,E,Southampton,1,False
